Name;Surname;Username;Email alias;Managerial level;Manager;Office;OU Level 1 - Country;OU Level 2 - Office;Password;Groups;Owner of groups
Royal;Orr;RoyOrr01;Royal.Orr@contoso.com;1;;Chicago;United States;Chicago;Zaq12wsx;Office license,Domain Users,VIP,Administrators,Board;
Marcellus;Richardson;MarRic01;Marcellus.Richardson@contoso.com;2;RoyOrr01;Quebec;Canada;Quebec;Zaq12wsx;Office license,Domain Users,VIP,Administrators,Board,GroupNo80,GroupNo118;VIP
Jensen;Guy;JenGuy01;Jensen.Guy@contoso.com;2;RoyOrr01;Bristol;England;Bristol;Zaq12wsx;Office license,Domain Users,VIP,Administrators,Board,GroupNo64,GroupNo68;Administrators,Board
Eduardo;Rose;EduRos01;Eduardo.Rose@contoso.com;2;RoyOrr01;San Francisco;United States;San Francisco;Zaq12wsx;Office license,Domain Users,VIP,Administrators,Board,GroupNo10,GroupNo104,GroupNo124;
Isabela;Lee;IsaLee01;Isabela.Lee@contoso.com;2;RoyOrr01;Bristol;England;Bristol;Zaq12wsx;Office license,Domain Users,VIP,Administrators,Board,GroupNo111;IT Support,Developers
Enzo;Mckee;EnzMck01;Enzo.Mckee@contoso.com;3;IsaLee01;New York;United States;New York;Zaq12wsx;Office license,Domain Users,VIP,Administrators,GroupNo108;HR
Ariya;Cortez;AriCor01;Ariya.Cortez@contoso.com;3;JenGuy01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP,Administrators,GroupNo183;GroupNo160
Brady;Moon;BraMoo01;Brady.Moon@contoso.com;3;IsaLee01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP,Administrators,GroupNo132;
Kyson;Cunningham;KysCun01;Kyson.Cunningham@contoso.com;3;EduRos01;Bristol;England;Bristol;Zaq12wsx;Office license,Domain Users,VIP,Administrators,GroupNo121;
Ryder;Sutton;RydSut01;Ryder.Sutton@contoso.com;3;IsaLee01;Mombai;India;Mombai;Zaq12wsx;Office license,Domain Users,VIP,Administrators,GroupNo56,GroupNo57;
Julia;Boyle;JulBoy01;Julia.Boyle@contoso.com;3;EduRos01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,Administrators,GroupNo5,GroupNo87;
Riley;Gilbert;RilGil01;Riley.Gilbert@contoso.com;3;MarRic01;San Francisco;United States;San Francisco;Zaq12wsx;Office license,Domain Users,VIP,Administrators,GroupNo38,GroupNo172,GroupNo219;
River;Padilla;RivPad01;River.Padilla@contoso.com;3;IsaLee01;London;England;London;Zaq12wsx;Office license,Domain Users,VIP,Administrators,GroupNo161;
Serenity;Fields;SerFie01;Serenity.Fields@contoso.com;3;JenGuy01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,Administrators;
Bailey;Hampton;BaiHam01;Bailey.Hampton@contoso.com;3;IsaLee01;Chicago;United States;Chicago;Zaq12wsx;Office license,Domain Users,VIP,Administrators,GroupNo27,GroupNo38,GroupNo137;
Landen;Wilkins;LanWil01;Landen.Wilkins@contoso.com;3;MarRic01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,Administrators;
Maliah;Martin;MalMar01;Maliah.Martin@contoso.com;3;IsaLee01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,Administrators,GroupNo44,GroupNo56,GroupNo124;
Alanna;Moran;AlaMor01;Alanna.Moran@contoso.com;4;RivPad01;London;England;London;Zaq12wsx;Office license,Domain Users,VIP,GroupNo70,GroupNo73,GroupNo80,GroupNo150,GroupNo151,GroupNo193;
Penelope;Weeks;PenWee01;Penelope.Weeks@contoso.com;4;LanWil01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,GroupNo124,GroupNo149,GroupNo167;
Nathaniel;Byrd;NatByr01;Nathaniel.Byrd@contoso.com;4;RydSut01;Mombai;India;Mombai;Zaq12wsx;Office license,Domain Users,VIP;
